Year,Utility_Number,Utility_Name,Part,Service_Type,Data_type,State,Ownership,BA_Code,Revenues_Thousand_Dollars,Sales_Megawatthours,Customers_Count
2020,59579,Sunnova,A,Bundled,O,NM,Behind the Meter,PNM,1240.1,6942,716
2020,59579,Sunnova,A,Bundled,O,NV,Behind the Meter,NEVP,4121.9,26446,2432
2020,59579,Sunnova,A,Bundled,O,NY,Behind the Meter,NYIS,3474.2,13451,1802
2020,59579,Sunnova,A,Bundled,O,NY,Behind the Meter,PJM,3843.3,17217,1993
2020,59579,Sunnova,A,Bundled,O,PA,Behind the Meter,PJM,3807.6,21606,2016
2020,59579,Sunnova,A,Bundled,O,RI,Behind the Meter,ISNE,1162,6216,896
2020,59579,Sunnova,A,Bundled,O,SC,Behind the Meter,DUK,36.5,269,33
2020,59579,Sunnova,A,Bundled,O,TX,Behind the Meter,EPE,164,1463,122
2020,59579,Sunnova,A,Bundled,O,TX,Behind the Meter,ERCO,2689.1,19648,1275
2020,59579,Sunnova,A,Bundled,O,TX,Behind the Meter,MISO,3.6,13,2
2020,59579,Sunnova,A,Bundled,O,TX,Behind the Meter,SWPP,4.5,35,2
2020,59580,"SunPower Capital, LLC",A,Bundled,O,AZ,Behind the Meter,AZPS,12320.9,127864,8052
2020,59580,"SunPower Capital, LLC",A,Bundled,O,AZ,Behind the Meter,CISO,381.1,3955,249
2020,59580,"SunPower Capital, LLC",A,Bundled,O,AZ,Behind the Meter,PSCO,9.9,102,7
2020,59580,"SunPower Capital, LLC",A,Bundled,O,AZ,Behind the Meter,SRP,733.7,7614,479
2020,59580,"SunPower Capital, LLC",A,Bundled,O,AZ,Behind the Meter,TEPC,3441.5,35715,2249
2020,59580,"SunPower Capital, LLC",A,Bundled,O,AZ,Behind the Meter,WALC,353.3,3667,231
2020,59580,"SunPower Capital, LLC",A,Bundled,O,CA,Behind the Meter,CISO,67678.5,386867,42944
2020,59580,"SunPower Capital, LLC",A,Bundled,O,CA,Behind the Meter,IID,1555.1,8890,987
2020,59580,"SunPower Capital, LLC",A,Bundled,O,CA,Behind the Meter,LDWP,5166.7,29534,3278
2020,59580,"SunPower Capital, LLC",A,Bundled,O,CA,Behind the Meter,NEVP,17.6,100,11
2020,59580,"SunPower Capital, LLC",A,Bundled,O,CA,Behind the Meter,PACW,68.8,393,44
2020,59580,"SunPower Capital, LLC",A,Bundled,O,CA,Behind the Meter,BANC,2875.3,16436,1824
2020,59580,"SunPower Capital, LLC",A,Bundled,O,CA,Behind the Meter,TIDC,63.1,361,40
2020,59580,"SunPower Capital, LLC",A,Bundled,O,CA,Behind the Meter,WALC,5.9,34,4
2020,59580,"SunPower Capital, LLC",A,Bundled,O,CO,Behind the Meter,PSCO,760.4,9697,1050
2020,59580,"SunPower Capital, LLC",A,Bundled,O,CO,Behind the Meter,WACM,62.4,795,86
2020,59580,"SunPower Capital, LLC",A,Bundled,O,CT,Behind the Meter,ISNE,2722,11427,1886
2020,59580,"SunPower Capital, LLC",A,Bundled,O,HI,Behind the Meter,HECO,2531.5,11881,1156
2020,59580,"SunPower Capital, LLC",A,Bundled,O,MA,Behind the Meter,ISNE,977.2,5313,842
2020,59580,"SunPower Capital, LLC",A,Bundled,O,NJ,Behind the Meter,NYIS,26.5,155,18
2020,59580,"SunPower Capital, LLC",A,Bundled,O,NJ,Behind the Meter,PJM,6453.5,37700,4334
2020,59580,"SunPower Capital, LLC",A,Bundled,O,NV,Behind the Meter,NEVP,1198.3,8494,722
2020,59580,"SunPower Capital, LLC",A,Bundled,O,NY,Behind the Meter,NYIS,12812.5,64980,7563
2020,59580,"SunPower Capital, LLC",A,Bundled,O,NY,Behind the Meter,PJM,1575.7,7991,930
2020,59580,"SunPower Capital, LLC",A,Bundled,O,PA,Behind the Meter,NYIS,0.6,11,1
2020,59580,"SunPower Capital, LLC",A,Bundled,O,PA,Behind the Meter,PJM,27.2,497,51
2020,59580,"SunPower Capital, LLC",A,Bundled,O,VT,Behind the Meter,ISNE,371.5,2359,348
2020,59619,"EDF Energy Services, LLC",B,Energy,O,CT,Retail Power Marketer,ISNE,.,.,.
2020,59619,"EDF Energy Services, LLC",B,Energy,O,DC,Retail Power Marketer,PJM,.,.,.
