City,Geographic Identifier,Area Name,Total Population,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino,,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More Races
3618118,16000US3618118,Copake Hamlet CDP,257,233,257,,0,0,24,0,0,0,0,0,0,0,0,0,0,0
3618124,16000US3618124,Copake Lake CDP,688,635,657,,0,0,9,0,0,13,31,31,0,0,0,0,0,0
3618135,16000US3618135,Copenhagen village,833,756,810,,11,2,20,0,0,21,23,23,0,0,0,0,0,0
3618146,16000US3618146,Copiague CDP,23561,11233,14491,,1829,214,500,0,188,527,9070,4086,168,201,0,0,4131,484
3618157,16000US3618157,Coram CDP,40311,25966,33027,,4566,0,1770,48,116,561,7284,5960,165,0,37,0,963,159
3618201,16000US3618201,Corfu village,739,672,726,,45,0,4,0,0,5,13,6,0,0,0,0,7,0
3618212,16000US3618212,Corinth village,2589,2469,2536,,1,0,0,0,0,66,53,53,0,0,0,0,0,0
3618256,16000US3618256,Corning city,10696,9868,10453,,234,0,187,0,0,164,243,102,59,0,0,0,82,0
3618333,16000US3618333,Cornwall-on-Hudson village,2915,2602,2697,,13,0,63,19,0,0,218,170,14,0,0,0,34,0
3618388,16000US3618388,Cortland city,18739,16967,18129,,690,0,94,0,14,364,610,393,14,0,0,0,140,63
3618443,16000US3618443,Cortland West CDP,1248,1110,1248,,44,0,39,0,11,44,0,0,0,0,0,0,0,0
3618542,16000US3618542,Country Knolls CDP,2119,1913,2119,,38,0,133,0,0,35,0,0,0,0,0,0,0,0
3618597,16000US3618597,Cove Neck village,268,245,257,,0,0,12,0,0,0,11,11,0,0,0,0,0,0
3618718,16000US3618718,Coxsackie village,2687,2574,2610,,3,0,24,0,0,9,77,71,0,0,0,0,6,0
3618762,16000US3618762,Cragsmoor CDP,263,263,263,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3618817,16000US3618817,Cranberry Lake CDP,155,155,155,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3619070,16000US3619070,Croghan village,599,562,583,,0,1,20,0,0,0,16,16,0,0,0,0,0,0
3619092,16000US3619092,Crompond CDP,2350,1534,2000,,254,0,72,0,36,104,350,45,109,0,0,0,196,0
3619213,16000US3619213,Croton-on-Hudson village,8155,6067,6947,,341,0,292,0,7,240,1208,727,0,0,7,0,474,0
3619229,16000US3619229,Crown Heights CDP,2850,1940,2596,,408,0,220,0,0,28,254,230,24,0,0,0,0,0
3619290,16000US3619290,Crugers CDP,1527,1123,1272,,82,0,54,0,0,13,255,173,0,0,0,0,82,0
3619308,16000US3619308,Crystal Beach CDP,735,674,705,,1,0,30,0,0,0,30,30,0,0,0,0,0,0
3619356,16000US3619356,Cuba village,1416,1348,1361,,4,0,0,0,0,9,55,55,0,0,0,0,0,0
3619408,16000US3619408,Cumberland Head CDP,1463,1383,1445,,40,0,0,5,0,17,18,16,0,0,0,0,0,2
3619411,16000US3619411,Cumminsville CDP,132,132,132,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3619466,16000US3619466,Cutchogue CDP,3200,3106,3128,,20,0,0,0,2,0,72,55,0,0,0,0,15,2
3619510,16000US3619510,Cuylerville CDP,278,263,263,,0,0,0,0,0,0,15,15,0,0,0,0,0,0
3619587,16000US3619587,Dalton CDP,367,367,367,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3619642,16000US3619642,Dannemora village,3958,1515,3240,,1693,0,8,0,20,4,718,107,55,0,0,0,536,20
3619664,16000US3619664,Dansville village,4586,4088,4325,,91,0,1,0,54,91,261,14,31,0,0,0,216,0
3619774,16000US3619774,Davenport Center CDP,254,254,254,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3619972,16000US3619972,Deer Park CDP,27479,15533,22512,,3424,10,2762,0,75,708,4967,3057,116,10,36,0,1399,349
3619994,16000US3619994,Deferiet village,307,287,302,,0,0,0,0,0,15,5,5,0,0,0,0,0,0
3620049,16000US3620049,DeKalb Junction CDP,657,654,657,,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3620082,16000US3620082,Delanson village,333,314,319,,2,0,3,0,0,0,14,9,5,0,0,0,0,0
3620115,16000US3620115,Delevan village,1069,1052,1069,,0,0,3,0,0,14,0,0,0,0,0,0,0,0
3620126,16000US3620126,Delhi village,3216,2411,2957,,306,2,81,2,0,155,259,155,22,0,0,0,73,9
3620302,16000US3620302,Depauville CDP,276,276,276,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620313,16000US3620313,Depew village,15102,13880,14759,,593,9,74,0,0,203,343,102,1,58,0,0,114,68
3620346,16000US3620346,Deposit village,1625,1461,1565,,8,0,31,11,0,54,60,45,0,0,0,0,3,12
